	PMIDs	nDCG@5	nDCG@10	nDCG@15	nDCG@20	nDCG@25	nDCG@50
345	7510480						
346	7510639						
347	7510684						
348	7510706						
349	7510783						
350	7510884						
351	7510940						
352	7510983						
353	7511023						
354	7511336						
355	7511402						
356	7511408						
357	7511414						
358	7511417						
359	7511554						
360	7511603						
361	7511615						
362	7511616						
363	7511779						
364	7511818	0.0	0.0	0.0	0.0	0.0986	0.1291
365	7511881						
366	7512014						
367	7512020						
368	7512118						
369	7512200						
370	7512261						
371	7512521						
372	7512535						
373	7512555						
374	7512560						
375	7512563						
376	7512586						
377	7512669						
378	7512771						
379	7512792						
380	7512860						
381	7512888						
382	7512928						
383	7512993						
384	7513081						
385	7513123						
386	7513148						
387	7513209						
388	7513228						
389	7513249	0.786	0.5313	0.6082	0.5963	0.5965	0.6252
390	7513286						
391	7513291						
392	7513292						
393	7513294						
394	7513340						
395	7513344						
396	7513612						
397	7513695						
398	7513770						
399	7513949						
400	7513982						
401	7513984						
402	7514123						
403	7514125						
404	7514132						
405	7514154						
406	7514169						
407	7514248						
408	7514292						
409	7514340						
410	7514605						
411	7514608						
412	7514727						
413	7515033						
414	7515113						
415	7515132						
416	7515176						
417	7515188						
418	7515381						
419	7515389						
420	7515452	1.0	0.8643	0.6996	0.7499	0.757	0.7102
421	7515498						
422	7515538						
423	7515579						
424	7515623						
425	7515658						
426	7515765						
427	7515884						
428	7515954						
429	7515971						
430	7516232						
431	7516233						
432	7516234						
433	7516261						
434	7516305						
435	7516410						
436	7516492						
437	7516642						
438	7516721						
439	7516777						
440	7516864	0.1312	0.1488	0.1153	0.1965	0.1701	0.2334
441	7516897						
442	7517006						
443	7517144						
444	7517178						
445	7517189						
446	7517453						
447	7517488						
448	7517499						
449	7517633						
450	7517653						
451	7517672						
452	7517679						
453	7517700						
454	7517771						
455	7517793						
456	7517874						
457	7517933						
458	7517945						
459	7518035						
460	7518266						
461	7518351						
462	7518409						
463	7518437						
464	7518444						
465	7518455						
466	7518576						
467	7518597						
468	7518662						
469	7518788						
470	7518829						
471	7518854						
472	7519016						
473	7519218						
474	7519393						
475	7519398						
476	7519432						
477	7519461						
478	7519475						
479	7519547						
480	7519611						
481	7519730						
482	7519781						
483	7519835						
484	7519876						
485	7519878						
486	7519885						
487	7519997						
488	7519999						
489	7520022						
490	7520292						
491	7520401						
492	7520433						
493	7520437						
494	7520714						
495	7520797						
496	7520798						
497	7521013						
498	7521124						
499	7521160						
500	7521186						
501	7521393						
502	7521514						
503	7521937						
504	7522049						
505	7522213						
506	7522290						
507	7522305						
508	7522329						
509	7522338						
510	7522434						
511	7522458						
512	7522483						
513	7522584						
514	7522901						
515	7522902						
516	7522936						
517	7522959						
518	7523066						
519	7523135						
520	7523366						
521	7523390						
522	7523393						
523	7523413						
524	7523438						
525	7523447						
526	7523453						
527	7523498						
528	7523670						
529	7523700						
530	7523734						
531	7523861						
532	7523862						
533	7523925						
534	7524081						
535	7524092						
536	7524243						
537	7524345						
538	7524485						
539	7524545						
540	7524601	1.0	0.7184	0.688	0.6727	0.6627	0.7127
541	7524899	0.3392	0.4194	0.3251	0.3723	0.3488	0.2965
542	7524909						
543	7524915						
544	7525134						
545	7525153						
546	7525358						
547	7525426						
548	7525444						
549	7525450						
550	7525464						
551	7525547						
552	7525558						
553	7525568						
554	7525583						
555	7525637						
556	7525715						
557	7525755						
558	7525819						
559	7525854						
560	7525859						
561	7525863						
562	7525870						
563	7525892						
564	7525894						
565	7525898						
566	7525930						
567	7525939						
568	7525978						
569	7526111						
570	7526222						
571	7526324						
572	7526342						
573	7526450						
574	7526486						
575	7526493						
576	7526536						
577	7526699						
578	7526932						
579	7527052						
580	7527123						
581	7527149						
582	7527191						
583	7527269						
584	7527339						
