	PMIDs	nDCG@5	nDCG@10	nDCG@15	nDCG@20	nDCG@25	nDCG@50
207	19325741	0.8869	0.8842	0.8804	0.8781	0.8761	0.8934
208	19357087	0.8016	0.7612	0.7403	0.7049	0.6788	0.7673
209	19400705	0.7699	0.7178	0.7812	0.8179	0.7884	0.8638
210	19402753	0.8304	0.8237	0.7912	0.6699	0.688	0.8601
211	19423038	0.4195	0.5035	0.5993	0.6512	0.677	0.7355
212	19424294	0.7739	0.801	0.8457	0.8489	0.8513	0.8686
213	19429505	1.0	1.0	0.9709	0.9417	0.9316	0.9075
214	19459974	0.3333	0.3822	0.5056	0.5883	0.6343	0.7784
215	19475631	0.6238	0.5921	0.6072	0.5614	0.6021	0.7486
216	19481676	0.6765	0.6949	0.6443	0.637	0.6455	0.7411
217	19497796	0.161	0.1685	0.2359	0.2541	0.277	0.4991
218	19509160	0.6062	0.6343	0.6527	0.6085	0.6082	0.7683
219	19509264	0.6259	0.5407	0.5477	0.5795	0.5795	0.7474
220	19528978	1.0	0.9306	0.9462	0.8977	0.8313	0.9102
221	19539124	0.3629	0.3517	0.3977	0.3808	0.4104	0.5972
222	19554038	0.673	0.5261	0.5125	0.4919	0.5399	0.7244
223	19575587	1.0	1.0	0.9716	0.8879	0.8676	0.9227
224	19578149	1.0	1.0	1.0	1.0	0.9555	0.953
225	19687567	0.2026	0.2896	0.2619	0.2565	0.249	0.4861
226	19704706	1.0	0.9558	0.9059	0.8319	0.8368	0.9076
227	19738636	0.76	0.6875	0.6953	0.6908	0.6781	0.8116
228	19739086	0.8151	0.7913	0.7922	0.827	0.8144	0.8759
229	19754110	0.8869	0.8842	0.8501	0.8293	0.816	0.87
230	19760540	0.6012	0.5282	0.5283	0.541	0.5041	0.6879
231	19783626	1.0	0.8606	0.8621	0.8182	0.807	0.9098
232	19815685	1.0	1.0	1.0	0.9784	0.963	0.9673
233	19874723	0.7739	0.7521	0.747	0.7232	0.7066	0.8418
234	19901993	0.3836	0.4218	0.5422	0.5566	0.5723	0.7168
235	19911947	1.0	1.0	0.8818	0.8785	0.8585	0.9091
236	19913618	0.5087	0.3513	0.3775	0.3796	0.4023	0.6202
237	19932022	1.0	0.9537	0.9357	0.879	0.8953	0.8885
238	19953549	0.6878	0.5372	0.5951	0.6057	0.6054	0.734
239	19953550	0.8688	0.7772	0.7222	0.7503	0.7838	0.8856
240	20005547	0.6608	0.7336	0.6861	0.6928	0.7166	0.8198
241	20018841	1.0	1.0	0.9716	0.9763	0.9795	0.9374
242	20029167	0.0	0.1446	0.1446	0.2486	0.2954	0.419
243	20037478	0.2331	0.4056	0.4485	0.5352	0.5861	0.6796
244	20043062	0.5635	0.5316	0.5361	0.5553	0.6313	0.7198
245	20058250	0.7896	0.7688	0.6993	0.705	0.7086	0.8818
246	20075921	0.8573	0.8585	0.8295	0.8361	0.8397	0.8883
247	20087656	1.0	1.0	1.0	1.0	1.0	0.9892
248	20097120	1.0	0.9053	0.9266	0.9389	0.9111	0.9135
249	20135181	0.6568	0.632	0.6224	0.6397	0.6702	0.7974
250	20140905	0.9125	0.8044	0.765	0.8064	0.8399	0.8919
251	20156279	0.3333	0.3649	0.4257	0.471	0.535	0.7123
252	20192741	1.0	0.8612	0.8924	0.9104	0.8864	0.9026
253	20192744	0.8573	0.8633	0.8357	0.8416	0.8271	0.8749
254	20202166	0.9125	0.8005	0.7864	0.7787	0.7907	0.8791
255	20231438	0.5958	0.5532	0.5927	0.6458	0.7049	0.7499
256	20304729	0.9026	0.9368	0.9226	0.8692	0.8694	0.8954
257	20331867	0.1489	0.1892	0.2449	0.2814	0.355	0.6115
258	20417093	0.9125	0.9432	0.956	0.8956	0.9096	0.9765
259	20434330	1.0	1.0	0.9402	0.9502	0.9218	0.914
260	20457442	0.8539	0.6177	0.6177	0.6177	0.6177	0.8382
261	20483501	0.7739	0.801	0.7833	0.7964	0.8061	0.8691
262	20493683	0.9125	0.8468	0.8528	0.8547	0.8391	0.8776
263	20515503	0.7113	0.7342	0.6725	0.705	0.691	0.7878
264	20523001	0.5594	0.5235	0.5947	0.5943	0.6364	0.7067
265	20526106	0.5403	0.5641	0.4826	0.5628	0.5867	0.7164
266	20530704	0.354	0.3829	0.4085	0.3779	0.4461	0.5926
267	20541636	0.476	0.4941	0.5661	0.636	0.6577	0.7582
268	20543885	0.4195	0.4072	0.3598	0.3621	0.4524	0.6635
269	20572796	0.8869	0.9266	0.884	0.8802	0.8963	0.8897
270	20581693	0.3156	0.3697	0.3697	0.3919	0.4123	0.5685
271	20616783	0.262	0.3978	0.3791	0.3805	0.4796	0.6495
272	20619762	1.0	1.0	0.9716	0.9763	0.9251	0.894
273	20626203	0.9026	0.7469	0.6539	0.6896	0.6532	0.8034
274	20627589	0.6765	0.7901	0.8065	0.817	0.8053	0.8493
275	20664591	0.4705	0.4181	0.4938	0.5049	0.4951	0.6481
276	20682055	0.1461	0.182	0.182	0.3025	0.3025	0.4387
277	20682712	0.6327	0.7297	0.7149	0.6404	0.6655	0.7297
278	20697706	0.8869	0.8336	0.7809	0.7742	0.8045	0.8738
279	20699654	0.4913	0.5307	0.5198	0.5258	0.5446	0.6794
280	20705178	0.8869	0.8744	0.9026	0.852	0.8361	0.8838
281	20800867	0.9125	0.8648	0.7761	0.7461	0.7527	0.835
282	20804791	0.5734	0.6537	0.7017	0.7074	0.6931	0.8555
283	20818429	0.8077	0.8091	0.7573	0.7409	0.7056	0.8618
284	20846589	0.8304	0.5389	0.541	0.6271	0.6271	0.7115
285	20923857	0.4166	0.548	0.5731	0.5279	0.5468	0.7264
286	20940062	0.8688	0.7792	0.7533	0.7808	0.7379	0.808
287	20943761	0.5454	0.6012	0.5424	0.5032	0.4827	0.6533
288	20951029	1.0	1.0	0.9701	0.9304	0.9219	0.9397
289	20976349	1.0	0.9558	0.934	0.9451	0.8983	0.9252
290	21041684	1.0	0.9014	0.8945	0.8343	0.829	0.8695
291	21058317	0.4592	0.516	0.5311	0.5193	0.5563	0.7583
292	21062932	0.7714	0.6762	0.6875	0.7598	0.7762	0.8535
293	21094045	0.9125	0.9008	0.8932	0.8449	0.8118	0.8692
294	21106489	0.9026	0.7992	0.7798	0.7675	0.7813	0.8478
295	21106551	0.467	0.3768	0.4358	0.5162	0.5443	0.6808
296	21113235	0.476	0.5647	0.5444	0.6608	0.672	0.7593
297	21125367	0.0597	0.0524	0.0524	0.14	0.14	0.3459
298	21126980	0.9026	0.8404	0.8478	0.8501	0.8519	0.8884
299	21128641	0.8573	0.8611	0.8332	0.8165	0.823	0.8712
300	21143860	0.2463	0.4295	0.4256	0.4057	0.4059	0.6239
301	21156660	0.6312	0.4801	0.5653	0.5931	0.6617	0.7329
302	21156727	1.0	1.0	1.0	1.0	0.9724	0.9689
303	21166410	1.0	0.9576	0.9096	0.9028	0.8982	0.9311
304	21168481	0.4038	0.4979	0.4724	0.5451	0.5586	0.7366
305	21176926	0.7896	0.7459	0.7441	0.6868	0.6933	0.8557
306	21212869	0.9125	0.8545	0.7982	0.7651	0.7472	0.9341
307	21231250	0.5904	0.5953	0.6131	0.6104	0.6446	0.7638
308	21246733	1.0	0.9576	0.9081	0.8801	0.8596	0.92
309	21261972	0.0619	0.1823	0.2076	0.2269	0.3075	0.5384
310	21262517	0.4611	0.5255	0.5104	0.5965	0.6137	0.6875
311	21264403	0.5	0.577	0.5653	0.5484	0.5732	0.7879
312	21296745	0.4464	0.4731	0.5419	0.6357	0.7002	0.7664
313	21316495	0.4748	0.5463	0.4962	0.5075	0.5302	0.6771
314	21332802	0.3759	0.4292	0.4292	0.455	0.5526	0.5747
315	21335431	0.7896	0.7721	0.7935	0.7606	0.7567	0.8428
316	21345472	0.9026	0.8879	0.8224	0.8521	0.8188	0.8993
317	21352235	1.0	0.9511	0.873	0.8711	0.871	0.9174
318	21358988	0.7073	0.5893	0.6677	0.6677	0.6677	0.7889
319	21383419	1.0	1.0	1.0	0.9777	0.9545	0.9356
320	21389632	1.0	0.9511	0.9621	0.9453	0.9526	0.9595
321	21397062	0.8151	0.7789	0.6951	0.669	0.6535	0.8351
322	21437654	0.0	0.0	0.0946	0.0946	0.0946	0.2231
323	21453701	0.9125	0.8039	0.7855	0.7755	0.7706	0.8676
324	21466279	0.3156	0.3788	0.3607	0.3374	0.4269	0.58
325	21468030	0.3177	0.2726	0.3448	0.3755	0.46	0.5743
326	21472281	0.4704	0.4704	0.4704	0.4704	0.5425	0.6674
327	21472348	0.6992	0.4537	0.5098	0.5098	0.5533	0.7382
328	21472859	0.9026	0.8013	0.787	0.8008	0.7733	0.8879
329	21476793	0.0	0.1357	0.1357	0.1357	0.3446	0.3446
330	21479832	1.0	0.9014	0.9236	0.8686	0.8688	0.8949
331	21496004	0.0	0.0	0.222	0.222	0.222	0.31
332	21511872	1.0	0.9558	0.9658	0.9256	0.9356	0.9096
333	21515771	0.8869	0.8842	0.8804	0.8562	0.8576	0.8901
334	21526969	0.6608	0.7276	0.7287	0.7287	0.7474	0.8082
335	21531831	0.2846	0.2876	0.3245	0.3297	0.4031	0.5829
336	21533463	0.0	0.0	0.2054	0.2054	0.2054	0.2054
337	21548781	1.0	0.9087	0.9001	0.8937	0.8542	0.9194
338	21590508	0.8573	0.9074	0.9282	0.9403	0.9483	0.9392
339	21597961	1.0	1.0	1.0	1.0	1.0	0.9904
340	21603854	0.5734	0.6318	0.6538	0.6447	0.6468	0.7891
341	21604374	0.6608	0.4288	0.5628	0.5772	0.5905	0.7155
342	21613409	0.4881	0.4135	0.4822	0.5115	0.5495	0.6671
343	21621018	0.8539	0.7059	0.5899	0.5427	0.608	0.8079
344	21638042	0.9026	0.7893	0.8083	0.8404	0.8081	0.8724
345	21652483	0.9125	0.9432	0.8637	0.8315	0.8541	0.934
346	21660574	1.0	1.0	0.9709	0.9758	0.979	0.9776
347	21673185	0.101	0.1537	0.1537	0.2869	0.2869	0.396
348	21680884	1.0	0.9364	0.9507	0.9589	0.9645	0.9487
349	21725296	0.6097	0.6359	0.6118	0.6114	0.6798	0.811
350	21742805	0.0	0.1254	0.2235	0.232	0.232	0.4679
351	21779393	0.4195	0.3993	0.5121	0.5343	0.5534	0.6843
352	21802197	0.5594	0.5597	0.6062	0.6233	0.7101	0.7397
353	21822285	0.4208	0.535	0.582	0.6133	0.6532	0.7109
354	21887827	0.4469	0.5533	0.5381	0.5198	0.5353	0.6692
355	21901277	0.9026	0.9368	0.8613	0.8622	0.8633	0.8878
356	21903632	0.8151	0.6244	0.5434	0.572	0.6059	0.736
357	21911475	0.6534	0.5166	0.477	0.511	0.5601	0.7451
358	21912695	0.6548	0.5793	0.5084	0.5832	0.5843	0.7441
359	21914192	0.5188	0.5397	0.5478	0.5525	0.5382	0.6608
360	21914651	0.6312	0.5999	0.5717	0.5672	0.6296	0.7227
361	21961645	0.3333	0.4352	0.4985	0.58	0.6126	0.7807
362	21969591	0.4138	0.5361	0.4984	0.4712	0.4966	0.6566
363	21971999	0.8869	0.8803	0.8774	0.8536	0.8554	0.8903
364	21975598	0.9026	0.9368	0.8894	0.8848	0.9002	0.9371
365	21983106	0.7739	0.807	0.7928	0.7837	0.7592	0.8668
366	21998555	0.4105	0.3994	0.3642	0.4261	0.412	0.6599
367	22093148	1.0	1.0	1.0	1.0	1.0	0.9803
368	22102219	1.0	0.8547	0.8575	0.8156	0.8045	0.8614
369	22105488	0.6238	0.6204	0.5968	0.6546	0.6512	0.811
370	22121373	0.5525	0.5642	0.589	0.5879	0.6314	0.7389
371	22130892	0.1898	0.142	0.169	0.2513	0.2587	0.4661
372	22130895	0.4412	0.5386	0.5423	0.5673	0.5366	0.6523
373	22147516	0.6864	0.7052	0.6824	0.6897	0.7139	0.8389
374	22173548	0.5651	0.5363	0.4965	0.4871	0.4797	0.7331
375	22174369	0.0	0.1809	0.1613	0.2092	0.2746	0.4229
376	22193955	0.4316	0.3945	0.5332	0.5568	0.5622	0.6759
377	22194297	0.6725	0.7386	0.7382	0.7601	0.7572	0.8488
378	22194685	0.3333	0.5034	0.5591	0.6363	0.6646	0.7665
379	22245099	0.6312	0.5729	0.5962	0.6485	0.7357	0.8424
380	22245354	1.0	0.863	0.8938	0.856	0.8574	0.8463
381	22247157	1.0	1.0	1.0	1.0	1.0	0.9394
382	22268428	1.0	0.8875	0.8432	0.9052	0.9052	0.9546
383	22268691	1.0	0.8988	0.864	0.8429	0.8466	0.9086
384	22286770	0.5531	0.6059	0.6064	0.6217	0.6057	0.8056
385	22287892	0.1387	0.1494	0.1546	0.151	0.215	0.4159
