	PMIDs	nDCG@5	nDCG@10	nDCG@15	nDCG@20	nDCG@25	nDCG@50
3003	29707216	0.214	0.4205	0.4148	0.4899	0.4955	0.6229
3004	29707436	1.0	0.8219	0.7727	0.7773	0.7	0.8712
3005	29707450	0.5029	0.4434	0.4344	0.5072	0.4662	0.6911
3006	29707452	0.3333	0.4713	0.5682	0.6406	0.6672	0.7878
3007	29707521	0.476	0.505	0.5303	0.549	0.6235	0.7318
3008	29707602	0.7995	0.7833	0.7664	0.8072	0.8181	0.904
3009	29707620	0.3078	0.3115	0.3699	0.4367	0.4455	0.6073
3010	29707635	0.9026	0.7819	0.7385	0.7665	0.7892	0.8654
3011	29707655	1.0	0.9014	0.8362	0.7847	0.7733	0.8471
3012	29708884	0.8539	0.8529	0.8561	0.8587	0.8236	0.863
3013	29708992	0.3452	0.3939	0.396	0.4353	0.4776	0.6344
3014	29709286	0.3008	0.3792	0.4045	0.4453	0.5025	0.6871
3015	29713209	0.6469	0.6084	0.5623	0.5921	0.6292	0.7853
3016	29713320	0.5982	0.6287	0.7417	0.715	0.7215	0.834
3017	29713376	0.5756	0.5852	0.614	0.6391	0.6842	0.7885
3018	29713389	0.1099	0.2931	0.4048	0.405	0.3777	0.5975
3019	29713453	0.8151	0.7391	0.7095	0.7277	0.7641	0.9043
3020	29713456	0.9125	0.7293	0.76	0.7628	0.8026	0.8718
3021	29713497	1.0	1.0	1.0	1.0	1.0	0.9706
3022	29713586	0.9026	0.8944	0.8269	0.7897	0.8179	0.884
3023	29715126	1.0	1.0	0.9255	0.8476	0.8977	0.9406
3024	29715148	1.0	1.0	1.0	0.9558	0.9356	0.9715
3025	29715316	0.476	0.4195	0.5384	0.529	0.5842	0.7182
3026	29716593	0.5157	0.7184	0.7761	0.7776	0.8102	0.8728
3027	29716629	0.7699	0.7821	0.7635	0.7333	0.7333	0.8612
3028	29716641	0.5453	0.5198	0.5084	0.5	0.4692	0.7135
3029	29717369	0.6863	0.6366	0.6057	0.5839	0.5325	0.7399
