	PMIDs	nDCG@5	nDCG@10	nDCG@15	nDCG@20	nDCG@25	nDCG@50
164	18433328	1.0	0.9558	0.9033	0.8929	0.9582	0.9738
165	18453094	1.0	1.0	1.0	0.9784	0.9813	0.9484
166	18460145	1.0	0.8567	0.8211	0.9134	0.9356	0.9561
167	18463710	0.4464	0.5477	0.5294	0.5643	0.587	0.8037
168	18474424	1.0	0.9558	0.9658	0.9715	0.9393	0.9242
169	18517834	0.8573	0.9074	0.8885	0.9236	0.9162	0.9495
170	18568360	0.9026	0.9129	0.9668	0.9697	0.9719	0.9754
171	18588689	1.0	1.0	0.941	0.9713	0.9943	0.9937
172	18592171	0.9125	0.9008	0.9231	0.9137	0.9253	0.9426
173	18597555	1.0	1.0	1.0	0.9768	0.9623	0.948
174	18605818	1.0	0.9053	0.9806	0.968	0.9462	0.9786
175	18618656	1.0	1.0	1.0	1.0	1.0	0.9614
176	18631179	1.0	1.0	1.0	1.0	1.0	1.0
177	18643969	1.0	0.9558	0.9658	0.9715	0.9388	0.9651
178	18652504	1.0	0.9048	0.8978	0.8706	0.852	0.9225
179	18657576	0.6135	0.7665	0.8002	0.801	0.782	0.841
180	18658245	0.8869	0.8281	0.8028	0.8583	0.9135	0.907
181	18690426	1.0	1.0	1.0	0.9773	0.9803	0.9507
182	18712298	1.0	1.0	1.0	1.0	0.9819	0.9956
183	18712299	0.6765	0.7438	0.7389	0.7827	0.7937	0.8771
184	18713445	1.0	1.0	1.0	1.0	0.9642	0.9396
185	18754079	1.0	0.9576	0.9671	0.9511	0.9225	0.9316
186	18762802	1.0	0.9576	0.9671	0.9511	0.9393	0.9737
187	18822041	0.7739	0.807	0.7445	0.7714	0.8039	0.8964
188	18832363	1.0	0.9576	0.9372	0.8584	0.8595	0.9695
189	18834211	1.0	1.0	1.0	0.9777	0.9807	0.9786
190	18844215	0.8869	0.9266	0.9431	0.9527	0.9414	0.9018
191	18852131	0.4208	0.7018	0.7575	0.7796	0.7968	0.8277
192	18930433	0.6608	0.731	0.6715	0.7265	0.7632	0.8461
193	18992910	1.0	1.0	1.0	1.0	0.9819	0.9695
194	19012896	0.9026	0.9175	0.9502	0.9368	0.9108	0.9662
