	PMIDs	nDCG@5	nDCG@10	nDCG@15	nDCG@20	nDCG@25	nDCG@50
349	7513081						
350	7513123						
351	7513148						
352	7513209						
353	7513228						
354	7513249	0.4307	0.5033	0.5713	0.6431	0.6458	0.6824
355	7513286						
356	7513291						
357	7513292						
358	7513294						
359	7513344						
360	7513612						
361	7513695						
362	7513770						
363	7513949						
364	7513982						
365	7513984						
366	7514123						
367	7514125						
368	7514132						
369	7514154						
370	7514169						
371	7514248						
372	7514292						
373	7514340						
374	7514605						
375	7514608						
376	7514727						
377	7515033						
378	7515113						
379	7515132						
380	7515176						
381	7515188						
382	7515389						
383	7515452	0.9026	0.8674	0.8087	0.806	0.8059	0.7437
384	7515498						
385	7515538						
386	7515579						
387	7515623						
388	7515658						
389	7515765						
390	7515884						
391	7515954						
392	7515971						
393	7516261						
394	7516305						
395	7516410						
396	7516492						
397	7516642						
398	7516721						
399	7516864	0.4704	0.3688	0.3335	0.3117	0.2699	0.3162
400	7516897						
401	7517006						
402	7517144						
403	7517178						
404	7517189						
405	7517453						
406	7517488						
407	7517499						
408	7517633						
409	7517653						
410	7517672						
411	7517679						
412	7517700						
413	7517771						
414	7517793						
415	7517874						
416	7517933						
417	7517945						
418	7518035						
419	7518266						
420	7518351						
421	7518409						
422	7518437						
423	7518444						
424	7518455						
425	7518576						
426	7518597						
427	7518662						
428	7518788						
429	7518829						
430	7518854						
431	7519016						
432	7519218						
433	7519393						
434	7519398						
435	7519432						
436	7519461						
437	7519475						
438	7519547						
439	7519611						
440	7519730						
441	7519781						
442	7519835						
443	7519876						
444	7519878						
445	7519885						
446	7519997						
447	7519999						
448	7520292						
449	7520401						
450	7520433						
451	7520437						
452	7520714						
453	7520797						
454	7521013						
455	7521124						
456	7521160						
457	7521186						
458	7521393						
459	7521514						
460	7521937						
461	7522049						
462	7522213						
463	7522290						
464	7522305						
465	7522329						
466	7522338						
467	7522434						
468	7522458						
469	7522483						
470	7522584						
471	7522901						
472	7522902						
473	7522936						
474	7522959						
475	7523066						
476	7523135						
477	7523366						
478	7523390						
479	7523393						
480	7523413						
481	7523438						
482	7523447						
483	7523453						
484	7523498						
485	7523670						
486	7523700						
487	7523734						
488	7523861						
489	7523862						
490	7523925						
491	7524081						
492	7524092						
493	7524345						
494	7524485						
495	7524545						
496	7524601	0.1312	0.3005	0.2806	0.3	0.3399	0.4198
497	7524899	0.0	0.0734	0.1506	0.1582	0.1642	0.1812
498	7524915						
499	7525134						
500	7525153						
501	7525358						
502	7525426						
